STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,
1109,W.YAM. CANAL WC-1(Y.NAGAR)100M D/S AFTER RECEIVING I.&SEW.EFFL HARYANA,CANAL,HARYANA,,,4.9,6.5,7.8,8.5,200,649,3.4,4.5,0,0,,,,
1110,"W.YAM. CANAL WC-2 (NEAR KARNA LAKE)G.T.ROAD KARNAL, HARYANA",CANAL,HARYANA,,,5.5,6.7,8.4,8.5,288,637,2.4,2.6,0,0,,,,
1111,"W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250, HARYANA",CANAL,HARYANA,,,6.5,7.3,8.3,8.9,170,256,2.1,2.2,0,0,,,,
1112,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH, R.D.282628 HARYANA",CANAL,HARYANA,,,6.5,7.3,6.2,8.9,170,258,1.7,1.8,0,0,,,,
1114,W.YAM. CANAL WC-6 SIRSA BRANCH AT RD.BRIDGE JI KAITHAL ROAD HARYANA,CANAL,HARYANA,,,6.3,6.3,8.8,8.8,235,235,2.2,2.2,0,0,,,,
1115,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD-145250,CANAL,HARYANA,,,6.3,7.2,7.7,8.9,180,260,2.4,2.4,0,0,,,,
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT HARYANA,CANAL,HARYANA,,,6.2,7,8,8.6,220,365,2.2,2.3,0,0,,,,
1316,"BASSEIN CREEK AT BASSIN IN THANE DT., MAHARASHTRA",CREEK,MAHARASHTRA,20,32,3,5.9,7.2,8.3,15960,55210,7,14,0.9,5.8,79,550,240,920
1317,"THANE CREEK AT ELEPHANTA ISLA, MAHARASHTRA",CREEK,MAHARASHTRA,28,33,3.9,5.5,7.6,8.2,41620,55470,8,12,0.5,7.9,49,920,130,1600
1318,"MAHIM CREEK AT MAHIM BAY, MAHARASHTRA",CREEK,MAHARASHTRA,29,34,2.5,5.6,7.5,8.2,35430,52420,7.8,15,0.6,11.2,94,350,220,550
1377,"NAJAFGARH DRAIN AT WAZIRABAD BEFORE CONF. TO RIV.YAMUNA, DELHI",DRAIN,DELHI,,,,,7.1,7.8,,,31,60,0,0,,,,
1419,"GURGAON CANAL, GC-1, (NEAR BADARPUR BORDER)",CANAL,HARYANA,18,26,1.8,2.2,7.2,7.6,810,1710,2.5,32,0,1.8,,,,
1502,"CIVIL MILL DRAIN, DELHI",DRAIN,DELHI,,,,,7.1,8,,,38,140,0,0,,,,
1503,"POWER HOUSE DRAIN, DELHI",DRAIN,DELHI,,,,,6.8,7.8,,,80,149,0,0,,,,
1504,"SEN NURSING HOME DRAIN, DELHI",DRAIN, DELHI,,,,,7,7.5,,,79,220,0,0,,,,
1505,"BARAPULA DRAIN, DELHI",DRAIN,DELHI,,,,,7,7.6,,,42,120,0,0,,,,
1506,"SHAHDARA DRAIN, DELHI",DRAIN,DELHI,,,,,7.1,7.4,,,65,144,0,0,,,,
1729,"NEAR PRAGATI VIDYABHAWAN, AGARTALA, TRIPURA",CANAL,TRIPURA,28,29,0.5,1,8.2,8.9,372,385,30.2,33,7.5,7.5,650,680,740,860
1857,"MAHARANI BAGH DRAIN, DELHI",DRAIN,DELHI,,,,,7.2,7.6,889,889,34,169,0,0,,,,
1886,WESTERN YAMUNA CANAL AT TAJEWALA,CANAL,HARYANA,,,6.9,6.9,7.6,8.2,240,333,3.6,8.2,0,0,,,,
2047,N-CHOE (ATTAWA CHOE),DRAIN,CHANDIGARH,21,33,1,7.6,7.1,8.5,600,738,0,50,0,2.1,,,,
2048,PATIALA KI RAO,DRAIN, CHANDIGARH,22,33,1,1,7.4,8.6,740,1035,18,141,0.5,3.6,,,,
2049,SUKHNA CHOE,DRAIN,CHANDIGARH,20,36,1,9.3,7.6,8.3,720,936,24,45,0.6,2.6,,,,
2056,WESTERN YAMUNA CANAL AT DAMLA D/S OF YAMUNA NAGAR,CANAL,HARYANA,,,6.3,6.7,8.1,8.2,338,364,2.2,3.8,0,0,,,,
2057,"AGRA CANAL, MADANPUR KHADAR, DELHI",CANAL,DELHI,,,,,7.2," ""8.1""",743,1860,10," ""43""",0,0,,,,
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",CANAL,GUJARAT,27,30,5.1,8.9,7.8,8.5,257,1036,1.2,5,0.1,0.6,17,70,70,2800
2080,MASMA KHADI- OLPAD- SARAS ROAD,CREEK,GUJARAT,26,31,3.5,7.3,7.5,8.1,378,2374,1.4,3.1,0,0.1,2,300,2,2100
2081,AMLAKHADI CREEK AT PUNGAM.,CREEK,GUJARAT,27,31,2.3,6.4,7.2,8,840,2000,5,20,0.3,6.1,46,140,210,5400
2178,CHIKHALI NALLA ( 2178 ),DRAIN,MAHARASHTRA,21,24,4.5,6.2,7.5,8.4,411,1103,2.8,11,0.4,1.3,11,170,100,900
2184,VASHI CREEK AT AIROLI BRIDGE.,CREEK,MAHARASHTRA,24,30,3.2,6,6.8,7.8,553,53530,3.8,12,1.5,5.4,21,900,49,1600
2185,VASHI CREEK AT VASHII BRIDGE.,CREEK,MAHARASHTRA,28,33,4.5,6,6.9,7.8,15980,46320,5,10,1,9.4,66,900,220,1600
2265,"CANAL UP STREAM OF CUNCOLIM IL.EST.CUNCOLIM, SALCETE (1 KM FROM M/S NICOMENT INDUSTRIES)",CANAL,GOA,26.2,32.1,7.7,10.4,5.9,7.5,46,1204,0.7,1.8,0,2.1,350,3300,920,5400
2266,"CANAL DOWNSTREAM OF CUNCOLIM IL.EST. CUNCOLIM, SALCETE (NEAR RAILWAY BRIDGE)",CANAL,GOA,26.5,32.5,4.5,8.8,5.1,7.4,52,1619,0.6,2.4,0,4.4,240,3500,540,9200
2267,"CREEK AT DAO MOLLO, VELSAO, MAMUGAO",CREEK,GOA,26.8,31,3.3,11,6.1,7.7,4,2686,0.6,9.8,0.2,14,2300,7900,3300,13000
2268,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),CANAL,GOA,26.8,32.7,4.2,7.3,6.1,7.8,3,1712,1.4,4.8,0,0.5,460,7000,790,11000
2429,"NAUBAZAR, CUTTACK CITY ",DRAIN,ODISHA,20," ""33""",4.4,8.2,7.3," ""8.2""",194,432,1.2,11.2,0.4,2.8,35000,160000,54000,160000
2430,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",CANAL,ODISHA,19,35,2.8,9.3,6.8,8.4,231,32480,1.2,3.7,0.4,2.1,7900,160000,11000,160000
2782,"RABODI NALLAH, RABODI, THANE",DRAIN, MAHARASHTRA,25,40,1.5,4.2,6.9,7.3,493,4579,11,140,1.3,3.8,120,550,350,920
2783,"COLOUR CHEMICAL NALLAH, VILLAGE- MAJIWADA, THANE",DRAIN,MAHARASHTRA,26,41,0.2,4.4,7,7.5,505,16070,8,96,1.1,3.6,170,920,350,1600
2784,"SANDOZ NALLAH, SAOZBAUG, THANE",DRAIN,MAHARASHTRA,26,40,2.1,4.4,6.9,7.7,530,2980,12,115,1.9,5.8,220,920,540,1600
2785,"BPT NAVAPUR (DISCHARGE FROM MIDC TARAPUR), NAVAPUR, PALGHAR, THANE",DRAIN,MAHARASHTRA,25,33,0,0,7.1,8.1,3234,16910,110,850,3.8,36.9,130,900,350,1600
2786,TARAPUR MIDC NALLA ( NEAR SUMP 1),DRAIN,MAHARASHTRA,26,32,0.9,0.9,7.1,7.5,2375,8219,108,550,2.2,16.1,220,540,540,1600
2787,TARAPUR MIDC NALLA( NEAR SUMP 2),DRAIN,MAHARASHTRA,26,33,1.2,1.2,7.1,7.5,2364,8248,100,500,2.3,37.2,220,350,350,920
2788,TARAPUR MIDC NALLA( NEAR SUMP 3),DRAIN,MAHARASHTRA,26,33,0.5,0.5,7.2,7.6,2370,8356,96,580,2.2,22.8,220,540,540,1600
2789,"NALLA AT D/S OF AKLAI MAIR, AKLAI, MALSHIRAS, SOLAPUR",DRAIN,MAHARASHTRA,26,41,0,7.1,3.7,8.3,1590,14520,3.8,480,0,8.1,250,275,1800,1800
2790,"PIMPAL-PANERI NALLA NEAR FINOLEX INDUSTRIES, YAHGANIGAON, RATNAGIRI",DRAIN,MAHARASHTRA,22,29,4.9,7.1,3.4,6.8,1542,2290,2.2,4.4,0,1.1,,,,
2792,"ULAHS CREEK AT MUMBRA RETI BUER, VILLAGE MUMBRA, THANE",CREEK,MAHARASHTRA,25,40,3.1,5.6,7.3,7.7,680,40360,5.8,12,1.1,6.5,110,550,240,920
2793,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",CREEK,MAHARASHTRA,26,41,3,5.6,7.2,7.9,682,40930,5.8,14,1,6.9,79,350,220,550
2794,"ULHAS CREEK AT KOSHLET RETI BUER, KOLSHET, THANE",CREEK,MAHARASHTRA,25,41,3.3,5.6,7.2,7.9,548,41000,5.4,14.5,1.1,6.7,79,550,220,900
2795,"ULHAS CREEK AT GAIMUKH AT NAGLA BUER ON GHOD BUER ROAD, NAGLA, THANE",CREEK,MAHARASHTRA,25,40,3.4,6.2,7.2,7.9,718,39600,4.6,12,1.1,6.2,110,550,280,920
2796,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",CREEK,MAHARASHTRA,20,33,3.3,5.8,7.2,8.3,775,54780,5,13.5,0.6,5.8,11,900,220,1600
2797,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",CREEK,MAHARASHTRA,20,32,2.5,5.6,7.2,8.1,834,53630,5,14,0,5.9,79,550,210,900
2798,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",CREEK,MAHARASHTRA,23,33,3.4,5.5,7.6,8.3,10040,56450,5.4,12,1,2.9,31,900,140,1600
2799,"DAI CREEK, DAI, PALGHAR, THANE",CREEK, MAHARASHTRA,23,33,3.6,5.5,7.6,8.1,5821,55900,6,12,0.6,5.2,17,350,210,550
2800,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",CREEK,MAHARASHTRA,23,33,4.6,7.3,8.1,8.4,174,2833,3,5,0.2,2.6,43,900,150,1600
2801,"SAVTA CREEK, SAVTA, DAHANU, THANE",CREEK,MAHARASHTRA,22,33,4.1,6.5,7.6,8.6,240,54650,3,12,0.2,2.7,46,350,140,550
2802,"DAHANU CREEK AT DAHANU FORT, DANUGAON, DAHANU, THANE",CREEK,MAHARASHTRA,22,33,3.5,6.3,7.6,8.6,242,54730,3,12,0.1,2.9,70,900,140,1600
2803,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",CREEK,MAHARASHTRA,23,30,4.6,7.3,7.1,8.7,66,46230,3,11,0,7.2,79,350,220,550
2804,"KARAMBAVANE CREEK AT CHIPLUM, KARAMBAVANE, RATNAGIRI",CREEK,MAHARASHTRA,22,28,4.7,7.3,6.8,8.1,126,15790,2.4,4.2,0.1,1.5,0,0,0,0
3196,"VAKHADI AT VILLAGE UMARWADA, TA ANKLESHWAR, BHARUCH",CREEK,GUJARAT,,,0.9,6.8,7.3,8.1,375,3310,1.9,28,0,0,,,1400,14000
3461,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",CANAL,KERALA,27,35,3.4,7.5,6.9,7.8,2232,46000,0.9,3,0,0.5,130,3200,220,4200
3467,"UNTHITHODU AT ELOOR, ERNAKULAM",CANAL,KERALA,27.2,29.6,0.8,3.9,5.4,7.5,345,5000,0.5,6,0.1,7.8,12,220,21,540
3469,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",CANAL,KERALA,26,29,2.3,7.5,6.5,7.3,64,186,0.5,2.6,0,0.8,13,220,33,240
2354,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI, A.P",CANAL, ANDHRA PRADESH,19,32,4.8,6.4,6.9,7.8,206,528,0.8,2.4,0.3,1.6,9,64,75,2400
2355,"TULJE BAGH CANAL, TEKRI DRAIN, KAKINADA, EAST GODAVARI, A.P",CANAL, ANDHRA PRADESH,18,31,3,5.6,7.1,7.8,554,14550,1,2.8,0.4,2,3,23,7,1100
3051,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY, KRISHNA, A.P.",CANAL, ANDHRA PRADESH,24,27,0,6.1,6.8,8,1000,1890,1.8,12,0,107,2,2200,4,2700
3052,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU, KRISHNA, A.P.",CANAL, ANDHRA PRADESH,23,27,0,4.1,6.7,8.4,1008,3480,1.2,64,0,14,2,5000,4,4000
3053,"TULIA BAGH DRAIN AT VEMULAVADA, EAST GODAVARI, A.P.",DRAIN, ANDHRA PRADESH,18,31,3.5,5.6,7,7.9,492,8650,1,3.5,0.3,2.1,3,93,15,2400
3054,"OUTLET OF ASH PO EFFLUENTS OF M/S.NTPC, RAMAGUAM, KARIMNAGAR, A.P.",DRAIN, ANDHRA PRADESH,25,25,1,2.1,7.4,9.2,844,1039,4,12,0,0.1,,,,
3067,"OUTLET OF STP ON GODAVARI, RAJAHMURY, EAST GODAVARI, A.P.",STP, ANDHRA PRADESH,19,35,5,6.5,7.1,8,188,296,1,3.2,0,1.8,7,43,15,2400
2932,"RIVER NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE, RAJASTHAN",CANAL,RAJASTHAN,16,35,5.2,9.1,7.2,8.9,170,770,0.7,1.9,0.1,3,3,7,3,150
2933,"GANG CANAL AT KHAKKA HEAR NEAR HIUMAL KOT, GANGANAGAR, RAJASTHAN",CANAL,RAJASTHAN,16,30.8,4.4,6.3,7.4,8.7,180,300,0.7,2.3,0.2,1.6,11,93,75,460
2934,MASITAWALA HEAD HANUMANGARH,CANAL,RAJASTHAN,15.5,31.6,4.6,6.1,7.4,8.6,190,470,1,2.9,0.1,1.2,14,150,210,1100
3055,"TREATED EFFLUENTS OF 339 MLD STP,AMBERPET, HYDERABAD BEFORE JOINING TO MUSI, HYDERABAD, A.P.",STP,TELANGANA,21,30,2,4.9,6.7,7.9,1377,1664,10,40,0,4.4,,,,
3056,"OUTLET OF STP, LANGARHOUSE LAKE, RANGA REDDY, A.P.",STP,TELANGANA,28,28,,,7.6,7.6,1200,1200,20,260,0,0,,,,
3057,"OUTLET OF STP, NAGOLE ON RIVERMUSI, RANGA REDDY, A.P.",STP,TELANGANA,24,30,1.4,4.8,6.6,8.7,1088,2022,12,49,0,0,,,,
3058,"OUTLET OF STP, KHAIRATABAD ONHUSSAINSAGAR LAKE, RANGA REDDY, A.P",STP,TELANGANA,22,30,2.4,3.8,6.8,8,1036,2500,12,32,0,0,,,,
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY, A.P.",STP,TELANGANA,26,30,2.5,2.5,7.1,8.9,1798,2100,16,22,0,0,,,,
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY, A.P",STP, TELANGANA,26,30,1.8,5.4,7.4,8.1,157,2200,14,48,0,0,,,,
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI, RANGAREDDY, A.P.",STP,TELANGANA,22,30,2,4.8,6.9,8.8,1295,2024,16,45,0,0,,,,
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY, A.P.",STP,TELANGANA,24,30,2,3.5,6.8,8.8,1588,2649,12,50,0,0,,,,
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL, ADILABAD, A.P.",STP,TELANGANA,26,30,0,6.1,6.8,7.4,1620,2510,36,170,0,0,,,,
3064,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUAM, KARIMNAGAR, A.P.",STP,TELANGANA,21,28,0,0,6.8,8.1,1089,1418,10,54,0,3.5,,,,
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUAM, KARIMNAGAR, A.P.",STP,TELANGANA,22,28,0,0,7,8.3,1014,1598,12,124,0,3.4,,,,
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM, KHAMMAM, A.P.",STP,TELANGANA,20,27,0,4.2,7,7.8,922,1610,28,110,0,0,,,,
2726,"UPPER GANGA CANAL D/S HARIKIPAURI, HARIDWAR",CANAL, UTTARAKHAND,14,22.5,6,10,7.6,8.2,,,1,34,0,0,,,22,60
2512,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTI BRIDGE",CANAL, WEST BENGAL,21,32.5,0,0,7.3,7.9,776,1951,13.8,44.6,0,4,1100000,9000000,1400000,16000000
2513,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",CANAL, WEST BENGAL,22,33,0,0,7.2,8,902,1123,31.3,112.5,0,4,1100000,17000000,1700000,22000000
