STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
2267,CREEK,GOA,27,35,4.8,8.8,6.0,8.7,5,612,1.2,2.3,0.2,48.52,10,13000,95,28000,15.354489,73.883148
2081,CREEK,GUJARAT,28,33,0,5.9,7.3,8.3,1380,5860,3.5,72.1,0.12,12.88,140,9000,140,90000,21.615413,72.941847
1316,CREEK,MAHARASHTRA,22,30,4.2,7.2,7.5,8.0,204,63170,2.2,17.5,0.2,4.63,8,550,25,900,19.229456,73.002085
1318,CREEK,MAHARASHTRA,28,29,1.3,6,7.1,7.7,3273,57310,4,25,0.1,6.2,225,1600,550,1600,19.038979,72.827674
1317,CREEK,MAHARASHTRA,28,29,3.4,6,7.5,8.2,20640,64300,4,25,0.1,2.67,350,900,550,1600,18.967313,72.929655
2793,CREEK,MAHARASHTRA,21,32,1.1,5.7,7.1,7.9,1172,40540,3.2,130,0.2,3.79,110,1600,250,1800,19.197132,72.985993
2791,CREEK,MAHARASHTRA,25,30,3.1,7.3,6.7,7.7,105,18130,2.4,70,0.36,5.4,17,1600,50,1600,19.244118,73.117187
2792,CREEK,MAHARASHTRA,20,32,2.8,7,7.1,7.9,197,41090,2.4,32,0.2,4.89,25,900,70,1600,19.202275,73.02209
2794,CREEK,MAHARASHTRA,20,32,3.5,7.3,5.0,7.9,164,34500,2.2,23,0.2,4.4,7,550,25,900,19.236012,72.999586
2795,CREEK,MAHARASHTRA,20,32,3.1,7.1,7.4,7.8,234,43000,3.2,25,0.2,4.86,80,550,130,900,19.28702,72.937644
2796,CREEK,MAHARASHTRA,22,30,3.8,7.5,7.2,8.1,275,59370,2.2,25,0.2,5.19,25,900,50,1600,19.287397,72.904918
2184,CREEK,MAHARASHTRA,24,30,3.2,7.2,7.2,8.2,1080,58080,2.4,18,0.4,5.04,13,900,25,1800,19.15042,72.980893
2185,CREEK,MAHARASHTRA,22,35,3.4,7.4,6.8,7.9,2589,64150,2.8,20,0.86,3.26,110,550,225,900,19.061371,72.970377
2797,CREEK,MAHARASHTRA,22,30,4.2,7.5,7.2,8.1,245,66140,2.2,19,0.2,4.86,25,900,70,1600,19.318553,72.851316
2798,CREEK,MAHARASHTRA,27,29,1.9,6.4,7.0,7.9,2301,66470,3.8,31,0.21,2.5,80,1600,250,1600,19.74137,72.711521
2799,CREEK,MAHARASHTRA,27,29,3.2,6.6,7.1,8.0,31070,65470,4.8,18,0.18,2.72,130,1600,250,1600,19.800635,72.684874
2800,CREEK,MAHARASHTRA,27,29,2.2,7.5,7.2,8.5,331,56800,2.2,20,0.21,6.93,40,1800,130,1800,19.775596,72.755901
2801,CREEK,MAHARASHTRA,27,29,3,7.4,7.6,8.4,156,66140,2.2,20,0.2,2.62,25,900,80,1600,19.965659,72.779863
2802,CREEK,MAHARASHTRA,27,29,3.7,7.2,7.6,8.5,150,66260,2.2,24,0.1,2.75,70,900,130,1600,19.972691,72.717154
2803,SEA,MAHARASHTRA,25,30,1.8,7.4,4.9,8.0,160,60420,2,24,0.2,3.4,50,350,110,550,19.034286,73.082422
2804,SEA,MAHARASHTRA,15,36,5.6,7.2,6.7,7.8,64,17130,1.8,4.2,0.43,4.21,2,6,110,140,17.579149,73.426908
2165,SEA,MAHARASHTRA,28,29,3.2,6.2,7.5,8.1,23070,64150,4,18,0.9,2.82,550,1600,900,1600,18.92178,72.834732
2166,SEA,MAHARASHTRA,8,29,3.6,6,7.4,8.0,25140,64310,4,19,0.9,2.68,550,1600,900,1600,18.949037,72.819111
2167,SEA,MAHARASHTRA,28,29,4,6,7.5,8.1,20590,64660,4,21,0.1,2.88,350,1600,550,1600,18.997883,72.811319
2169,SEA,MAHARASHTRA,21,28,2,5.9,7.5,8.2,349,64590,4,29,0.1,2.88,250,900,550,1600,19.133791,72.810349
2805,SEA,MAHARASHTRA,22,30,3.5,6.9,7.7,8.4,283,67000,3.2,20,0.1,4.16,17,900,45,1600,19.452095,72.747609
2806,SEA,MAHARASHTRA,22,30,3.7,7.5,7.6,8.4,203,66250,2,22,0.1,4.01,35,1600,70,1600,19.28193,72.783267
2807,SEA,MAHARASHTRA,27,29,1.5,6.6,7.0,8.1,31550,70190,5.2,28,0.24,3.21,25,1600,350,1600,19.789433,72.68845
2808,SEA,MAHARASHTRA,8,30,3.5,5.8,7.4,8.0,39010,64660,3.6,24,0.86,2.54,250,1600,900,1600,18.922538,72.823514
2809,SEA,MAHARASHTRA,28,29,2.8,5.8,7.2,8.0,31200,62250,3.4,24,0.89,2.61,350,900,900,1600,18.950337,72.803241
2810,SEA,MAHARASHTRA,28,29,3.2,5.6,7.4,8.0,38640,64030,4.2,18,0.89,2.72,275,1800,900,1800,18.982292,72.808923
2811,SEA,MAHARASHTRA,28,30,3.4,6,7.5,8.1,38200,64030,4.2,21,0.95,2.44,550,1600,900,1600,19.026945,72.834925
2812,SEA,MAHARASHTRA,24,28,3.6,6.4,7.5,8.1,28420,64570,4,28,0.1,3.23,55,1600,900,1600,19.089151,72.826028
2813,SEA,MAHARASHTRA,24,30,3,7.5,7.3,8.6,3735,50220,2.4,8.4,0.46,4.46,2,9,90,170,17.147195,73.26473
2814,SEA,MAHARASHTRA,25,30,2.7,7.4,7.1,8.6,2296,48670,2.6,5.4,0.72,4.65,2,6,90,140,16.997318,73.272523
2815,SEA,MAHARASHTRA,24,30,3.6,7.1,7.0,8.8,2724,49920,2,9.8,0.49,4.56,4,9,110,220,16.989085,73.284499
2439,CREEK,ORISSA,21,31,5.8,11.4,7.8,8.3,28050,58400,0.2,3,0.52,1.1,20,2400,20,3500,19.793145,85.823008
2440,CREEK,ORISSA,22,34,5.7,8.4,7.7,8.4,28110,57120,0.3,2.8,0.48,2.47,20,230,45,490,20.297233,86.711367
2441,CREEK,ORISSA,24,32,5.4,8.8,7.5,8.3,29980,57570,0.7,3.8,0.15,1.91,20,490,45,790,19.256114,84.908246
2354,CANAL,ANDHRA PRADESH,21,28,5.4,6,6.6,7.8,283,425,1,1.2,0.24,0.79,3,3,20,�,17.042624,82.166873
2355,CANAL,ANDHRA PRADESH,21,28,5.6,6.2,7.0,7.9,391,33200,1.2,2,0.4,2.97,3,4,11,�,16.854914,82.231328
3051,CANAL,ANDHRA PRADESH,18,28,0.8,4.2,6.9,7.2,488,1239,0.4,2.9,0.16,1.63,2,6,1300,�,16.518542,80.77469
2265,CANAL,GOA,27,34,7.5,7.8,5.5,5.9,50,61,1,1.6,0.06,0.11,7,7,150,�,15.182391,73.990575
2266,CANAL,GOA,29,34,7.5,8.1,5.8,6.1,48,156,0.7,2.1,0.04,0.1,�,�,120,�,15.16806,74.010058
2268,CANAL,GOA,26,33,3.3,6.7,5.5,7.4,3,1313,0.6,4.6,0.02,0.34,4,2600,150,�,15.502818,73.949118
2073,CANAL,GUJARAT,26,28,6.6,9.4,7.4,8.6,182,344,1,6,0,0.87,7,9,21,�,23.134936,72.611525
2074,CANAL,GUJARAT,27,33,4.2,8.8,7.7,8.4,241,1270,0.7,5,0.04,1.19,2,230,2,�,21.589419,72.975333
1111,CANAL,HARYANA,18,32,7,7.6,7.1,8.2,184,254,1.4,1.7,0,0.2,�,�,�,�,29.041915,76.142314
1112,CANAL,HARYANA,18,30,6.7,7.9,7.3,8.2,210,337,1.1,1.5,0,0.32,�,�,�,�,28.805764,77.046769
1115,CANAL,HARYANA,19,31,6.7,7.4,7.4,8.1,178,253,2,2.1,0.2,0.4,�,�,�,�,29.173241,76.91024
1116,CANAL,HARYANA,20,24,7,7.3,7.3,8.1,206,410,2.2,2.6,0,0.55,13000,20000,13000,�,29.358769,76.950469
3034,CANAL,HARYANA/CPCB,�,�,�,�,8.1,8.2,173,345,1,1,�,�,3300,3300,5800,�,29.170539,76.909558
1419,CANAL,HARYANA,23,30,1.1,1.5,7.8,8.1,1020,1210,31,32,1.2,1.2,�,�,�,�,28.506624,77.314305
3461,CANAL,KERALA,25,29,2.5,5.9,6.7,8.2,486,36000,0.6,5.5,0.05,1.5,200,17000,700,�,11.335961,75.761858
3467,CANAL,KERALA,27,29,0,3.5,6.2,7.4,160,6970,0.8,68,0.7,11.13,170,1400,800,�,10.07305,76.286714
3469,CANAL,KERALA,26,29,2.7,6.4,6.2,7.7,42,80,0.8,2.6,0.19,1.17,20,1600,350,�,10.1108,76.476031
2836,CANAL,MANIPUR,27,30,5.1,8.1,6.4,7.5,99,215,0.2,4.3,�,�,�,�,15,�,24.245,93.54079
2428,CANAL,ORISSA,26,29,5.5,10.2,7.1,8.2,148,205,1,2.7,0.18,1.17,4900,200000,11000,�,20.474944,85.901762
2429,CANAL,ORISSA,27,31,5.2,7.9,7.4,8.5,148,219,1.6,2.6,0.22,2.74,35000,200000,92000,�,20.454888,85.924125
2430,CANAL,ORISSA,20,35,3.2,16.3,6.5,8.4,41,2638,1.1,7.2,0.06,2.62,9400,54000,5400,�,20.315874,86.084897
2932,CANAL,RAJASTHAN,15,28,5,9,7.3,8.9,200,740,0.4,2.8,0.14,0.58,3,7,4,20,24.762569,71.73495
2933,CANAL,RAJASTHAN,12,33,4.5,7.9,6.0,8.2,260,500,0.3,2.7,0.14,0.92,3,7,4,21,30.180856,73.973639
2934,CANAL,RAJASTHAN,13,84,4.4,7.7,6.0,8.0,250,580,0.6,2.2,0.02,0.98,3,4,4,20,29.60093,74.321796
1729,CANAL,TRIPURA,28,29,0.8,1.8,8.7,8.9,374,392,30.2,38.1,6.02,6.82,620,660,780,880,23.844592,91.276394
2726,CANAL,UTTARAKHAND,15,23,7.4,9.6,6.9,8.3,38,151,1.2,3.8,�,�,�,�,100,500,29.930289,78.137206
3035,CANAL,UTTAR PRADESH,�,�,�,�,7.5,8.1,178,996,�,�,�,�,40000,40000,81000,81000,28.778984,77.518927
2512,CANAL,WEST BENGAL,21,35,0.8,1.6,6.7,7.7,480,1813,10.5,64.2,0,1.61,3000000,100000000,5000000,200000000,22.694406,88.44775
2513,CANAL,WEST BENGAL,22,34,0,0,6.3,7.6,739,1136,35.5,146.3,0,1.16,30000000,900000000,50000000,2000000000,22.518705,88.323864
